"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Liechtenstein","Switzerland","Spain","Portugal","Germany","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Namibia","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Samoa"
"United States of America",0,11002.789,354.78,1.54,52.1704,917.89,294.9927,573.9098,203.5435,30.788,25.4212,63.94,40.6763,65,41.2,8966.619,73.0235,208.9655,213.2,286.249,63.5,282.4582,269.1446,1430.0205,6820.5193,31.5,140.9766,963.5469,28.4379,3630.167,53.7634,110.8171,197.3,787.821,198.315,4104.304,1210.193,4419.3789,468.9839,27.9255,5362.325,0,1296.7808,3722.6125,84.7199,6158.379,0,0,296.7775,421.0015,149.4623,10.5827,4141.108,24.3959,8.72,57.759,176.5468,163.5769,40.03,218.2074,2227.9601,480.4662,496.8765,145.5524,194.2299,64.1351,0,14.3,1.22,0,0,7.6,81.3487,1.5777,0.2112,23.6329,123.3371,94.01,32.4834,3.86,29.2252,25.85,27.211,97.2458,6021.7802,751.21,0.66,7.5,406.3348,239.9494,12.9,109.399,0.5544,5.8024,28.9,12.65,6.9941,15.403,1934.7299,26.43,95.0617,8.8256,40.3058,19.6,11.1,22.3,4.8,26.3,28.4777,4.8,77.9675,2.9477,316.6999,1724.5111,264.7978,69.961,30.83,59.9,1126.415,2543.63,865.354,200.4112,83.22,439.1201,678.0999,6711.4383,0,277.29,0,184,174.769,102.5769,96.6,68.399,0.06,9704.778,2,12357.3,0,2340.7,40227.977,786.5593,0.4,290.1404,407.8325,3.3088,318.7802,16.245,36.3809,1988.5579,0,1,0.561,552.0532,295.8453,60.4932,1084.2,1161.8755,5469.431,104.9686,376.8158,5.49,3.205,64.6824,6.919
"Canada",11002.789,0,8.1285,26.9897,2.2647,2.2845,35.5041,49.9324,25.7558,2.9049,5.0706,1.743,5.0259,5.2178,4.7994,1201.0451,5.6845,11.4671,4.5766,3.9862,39.5717,24.9685,7.1591,72.192,335.0884,12.9384,0.0917,98.5294,93.3641,209.9572,15.1025,1.6228,54.5987,107.1455,29.8011,578.4038,94.1425,209.4085,138.9842,8.2758,735.4605,0,391.4709,32.1368,27.2322,832.1352,0,0,63.4526,140.4194,32.1204,48.3067,389.2722,0.4498,0.3112,9.6922,1.4394,10.0372,14.6788,61.2884,886.9275,124.8794,495.8146,961.593,92.7452,1.358,0,0.7081,0.0087,0.0511,0.1775,8.1564,9.7044,0.387,1.2566,0.8063,10.2622,6.964,7.2483,1.7778,3.1812,10.9493,26.6813,28.8722,511.0143,5.2823,0.0369,0.1118,1.7593,0.5993,1.9061,2.0735,19.0928,0.1954,1.5041,2.8135,0.5683,4.2674,43.7309,20.6972,8.3651,0.1799,1.9675,23.7249,10.0238,2.1808,1.9967,25.7641,0.6839,0.0019,5.0415,0.0493,126.4227,258.467,47.1165,55.988,6.3522,394.2556,103.1106,76.4102,57.8889,8.1228,3.8304,15.6205,16.4205,426.6342,0,1.3416,0,32.4718,4.5224,3.6398,20.7278,5.8509,0.5116,171.9179,0,1309.7979,0.5753,657.507,406.6924,97.7337,0.0034,2.2683,84.6388,0.3911,20.777,0.5888,0.152,10.7235,0.0171,1.0041,10.5544,73.6472,160.0887,1.0787,5.1477,217.2129,168.6789,24.6534,15.3685,0.0028,0.049,8.3102,0.1661
"Bahamas",354.78,8.1285,0,0.0435,0.0173,0.0448,0.34,2.8045,1.0891,0.0185,0,0.054,0.0012,0.0184,0.0081,22.726,0.0165,0,0,0.2269,0,0.8594,0.1351,34.4961,0,0.0265,0,0,4.2284,34.2331,0,40.05,0,3.5912,0.2991,15.4371,9.5293,0.8781,1.4912,0.0888,7.7512,0,7.365,0.3382,0.1309,196.834,0,0,1.5116,1.8277,0,0,3.3849,0.0078,0,0.0562,8.2155,0.0272,0,0,5.0186,3.113,67.3319,32.0589,52.1157,0,0,0,9,0,0,9,0.8614,9,0,9,0,0,0,0,0.001,0.0001,9,0,0.0007,32.4263,0,0,0,0,0,0,0,0,0,0,0,9,0.632,0,0.0052,0.0411,0,0,0,0,0,0,0.0979,0,0.0044,0,0,0,0.3313,0,0,0,2.528,22.3929,0,0,6.0078,0,1.6,0,0,9,0,0,0,9,0,9,0,0.5189,0,1.4746,0.0207,69.5576,456.1047,0.4236,0,0.0928,0,0,0.004,9,0,0.6668,0,0,0,0.3209,34.2109,0,0.0408,0.2624,3.6092,9,0.1724,9,0,0,0
"Cuba",1.54,26.9897,0.0435,0,0,0,0.0008,41.5468,0.223,0,0.0001,0,0.0007,0,0,55.5544,0,0,0,0,2.5875,0.4161,1.647,21.4177,501.8244,3.6191,0.0022,0,6.7122,19.5668,0.2736,0,0,178.941,17.3833,26.6759,9.9678,36.2455,44,2.62,23.0948,0,23.3644,252.5571,18.1371,248.3117,0,0,4.4582,3.2192,29.1316,38.355,68.6682,0.124,0,6.9552,0.553,0.1838,0,9.4143,0,13.7816,8.8821,0.9143,18.7603,0.0017,0,0,0.7118,0,0,0,0.001,9,0.0051,0,0.0184,9,9,0,9,5.6651,0,0.0367,0.0053,0.0142,0,0,0.0419,9,0,0,0,0,9,0,0,7.4511,9,9,0.0001,0.011,0,0,0,0,0,0,9,9,0.0004,0,0,70.019,10.3411,56.462,0,0,5.3,0,56.313,21.9188,0,5.171,0,0.9068,0,4.0796,0,0,0,0,0,9.013,0,32.7367,0,0.0051,0,0,15.0769,2.4837,0,0.0005,9,9,0.0142,0,0,33.4322,9,0,5.7311,0.0076,0,9,0,0.0606,0.4633,9,20.8964,0,0,0,0
"Haiti",52.1704,2.2647,0.0173,0,0,0.8798,0.759,10.006,0.1424,0.0003,9.0106,0,0.0864,0,9.0004,0.6663,0.052,3.0612,0.0019,0.0228,0.0509,0.4219,0.9317,3.8824,4.5873,0,0.1449,0.0323,0.052,3.9396,0.0002,0,0.0281,1.1019,0.2057,7.1224,1.8374,11.535,0.5568,0.0332,5.0651,0,1.361,2.2848,0.0069,4.671,0,0,0.0405,0.0252,0.0375,0.7184,17.1043,0,0,0.0044,0.3001,0.0322,0,0.1103,0,0.0208,0.0356,1.5613,0.6032,0,0,0,0,0,0,9,0,9,9.0084,9,0,9,0,0,9,0,0,0,0,0,9,0,0,0,0,9,0,9,9,0,9,9,0,9,0.2867,0,0,0,0,0,0,0,0.0025,9,0.0068,0,0,0,4.699,0,0,0,0.1145,0,0,0,0,0.0236,1.43,9,0,9,0,9,0,0,0,0,0,2.7598,0,8.8009,0,5.0997,16.9319,0.1335,0,0.9057,0,0,0,0,0,0.1592,0,0,0,7.826,0.1886,0,0.1089,0,4.6756,0,0.3335,9,0,9,9
"Dominican Republic",917.89,2.2845,0.0448,0,0.8798,0,0.3164,6.4128,0.8363,0.015,0.7623,0.9163,0.2641,0.06,0,155.6896,0.0379,6.5828,2.1781,2.8504,0.0642,5.9407,21.2431,13.1456,301.7163,0.1004,1.3187,0.0322,1.6187,19.5391,0.0003,0.7858,14.9304,11.5354,0.6555,6.9063,0.2772,16.7312,4.8228,0.2872,6.9944,0,6.6282,3.2992,0.2519,26.3197,0,0,0.016,1.1062,0.0321,0.2099,34.3003,0.0892,9,0.5421,1.9034,0,0,0.0241,8.0836,18.7978,2.6238,4.5665,9.4735,0.2245,0,9,0,0,0,0,0.1909,9,0,0,0.0477,0,0,0,0,0,9,0,0,0,0,0,9,9,0,0,9,9,0,0,9,9,9,0,0,0,9,4.9714,0,0,0,0,0,0,0,9,5.211,0,0.0438,0,9,0,0.0141,0.1123,0,9,0,0,1.9485,0.0283,0,9,0,9,0,9,0,0,0,2.822,9,26.6735,1.1794,26.6597,205.4401,0.3408,0,0.1076,0,0,0,0,0,1.8548,0,9,0,1.6661,0.3368,0,0.0395,0.0962,1.2583,0,8.8128,9,0,0,9
"Jamaica",294.9927,35.5041,0.34,0.0008,0.759,0.3164,0,21.2477,3.313,4.5668,1.105,0.4563,0.9777,2.754,1.6648,96.2594,5.3179,1.1468,0.1283,0.1958,0.0436,3.2999,9.659,1.6483,99.2212,2.1493,2.55,4.7105,1.2409,53.8384,0.0231,0.0121,0.5253,4.1725,0.3785,136.9341,1.0147,10.8051,7.2861,0.4339,0.5158,0,9.6777,2.0636,0.3641,26.8473,0,0,1.5205,4.3664,0.3138,0.151,6.0649,0.0008,0,0.0224,0.4217,0.0176,0,0.0138,48.4826,5.2675,22.378,115.7092,2.6064,0.1057,0,0,9,0,0,0,0,0,0.0155,9,0.1503,0,0,0,0.0031,58.2771,0,0,0.1126,0,0,0,0.0148,0.0017,0,0.086,0.0205,0,9,0.0019,0,0.015,0.007,0,0.0024,0.0058,0.0361,0,0,0,0.0021,0,0,0,0.0224,0,0.0004,0.0033,0.0403,0.043,0.071,0.0057,0.4682,0,0.018,0.0296,0.0003,0.0687,1.1844,2.1582,0,0.0237,0,0,0.0014,0,0.0438,0.0052,0,6.3695,0,12.2426,1.0018,12.4923,79.8114,0.4598,0,0.3395,0.1094,0,0.1166,0,9,3.1324,0,0,0,1.2383,1.4362,0.0089,0.8943,1.036,0.489,0.0013,11.6975,0,0,0,0.0078
"Trinidad and Tobago",573.9098,49.9324,2.8045,41.5468,10.006,6.4128,21.2477,0,59.6761,9.4636,12.6933,0,6.7456,0,0,0.79,2.0144,1.1613,0.6843,0.0051,0.0093,0.0574,3.7421,11.601,41.0931,26.3874,34.193,3.4071,0.1904,44.7195,0.0001,0.0235,2.894,14.1284,0.0726,15.2925,8.0745,20.5876,21.4998,1.2802,10.1388,0,3.5958,0.5528,4.8195,9.9995,0,0,0.9586,3.1841,0.1473,0.8386,32.6829,0.001,0,0.3941,0.0052,0.0789,0,0.0266,0.0098,0.895,2.6703,2.6819,1.7875,0.0309,0,0,0,0,0.0007,9,0.8195,0.0005,0,0,0,0.1082,0,8.5401,0.0015,0.0075,0,0,15.1837,0.0002,0,0,0,0,0.0397,0.133,0.0051,9,0.0052,0,0,0.0064,14.2106,0.0078,0.0028,0.1003,0.0265,0.0266,0,0.0262,0,0.0095,0,0,0.0054,0,8.4567,0,3.9535,0.0074,0.0013,0.0962,2.0961,0,0.0526,0,0,0,4.8623,0.0255,0,0.0019,0,0,0.0012,0.0032,0,0,0.016,6.1328,0,13.0811,0.1871,7.8404,27.6473,1.2303,0,0.0579,0.0689,0.0334,0.0214,0,0,1.2842,0,9,0.046,0.1914,2.5912,0,0.7579,4.1939,2.8049,0,12.3329,9,0,0.0163,0
"Barbados",203.5435,25.7558,1.0891,0.223,0.1424,0.8363,3.313,59.6761,0,1.8981,3.2054,2.9614,4.8948,1.0432,1.5696,1.3573,0.1706,0.2771,2.3612,2.9234,0.1535,0.9514,0.071,0.699,27.9984,1.6111,0.2809,0.0129,0.2441,7.9461,0.0104,0.0359,0.4599,1.9541,0.3734,31.2604,3.0033,7.8643,2.9163,0.1737,8.3253,0,4.7719,1.9986,0.2813,13.4185,0,0,0.1715,0.6388,0.0925,0.2174,4.9903,0.0002,0,0.0861,0.0307,0.0114,0,0.004,0.1748,2.2758,9.5148,2.5721,12.7206,0.1068,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,9,0.0027,9,0,0,0,0,0,0.1349,0.0137,9,0,0,0,0,0,0,0,0.068,0.0364,0,9,9,0,0,0.0023,0,0.0001,0.0001,0.006,0,0.6525,0,0,0.0061,0.1486,0.0007,0.0018,0.0002,0.0017,9,0.1969,0.0065,0,0,0,0,0.0054,0,0.0003,0,0.0027,2.858,0,6.6464,0,5.9768,36.7712,1.3488,9,0.0385,0.0117,0,0.4165,9,0.0068,1.8516,0,0,9,0.284,0.9308,0,0.1349,0.0386,1.7843,0,10.3348,0,0,0,9.0002
"Dominica",30.788,2.9049,0.0185,0,0.0003,0.015,4.5668,9.4636,1.8981,0,0.0413,3.7595,1.7772,0.2576,0.1041,0.0072,0,0.091,0,0.0326,0,0.7426,0.0527,1.4164,0.8671,0.1549,0.0121,0.0034,0.323,0.6608,9,9,0.0428,0.1699,0.037,25.2946,0.0194,2.0093,0.1416,0.0084,1.6612,0,0.9345,0.2221,0.0168,3.5562,0,0,0.0387,0.1256,0.0388,0.1492,2.2799,0.0159,0,0.236,0.2694,0.3549,0,0.0016,0.0866,0.0501,0.0151,0.3017,0.866,0.0176,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0,9,0.0188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1904,0.0165,0,0,0,0,0,0,0,0.0043,9,0,0,0,0,0,0.0001,0.2974,0,0.0455,0,0.0004,0,0.0074,0.0417,0,0.0006,0,0,0,0,0,0,0,0.6671,0,0.648,0.0035,29.0641,5.1804,0.3208,0,0.0024,0,0,1.3717,0,0,0.9133,0,0,0,4.9285,0.0911,0,0.0074,0.004,0.0325,9,0.0486,0,0,0,0
